Core-58,,,,,,,,,,,,,,,,,,,,,,,,,,,,CCX-3,,,,
Utilization (%),Eff Freq,IPC (Sys + User),CPI (Sys + User),Branch Misprediction Ratio,IC (32B) Fetch Miss Ratio,Op Cache (64B) Fetch Miss Ratio,IC Access (pti),IC Miss (pti),DC Access (pti),DC Fills From Same CCX (pti),DC Fills From different CCX in same node (pti),DC Fills From Local Memory (pti),DC Fills From Remote CCX Cache (pti),DC Fills From Remote Memory (pti),All DC Fills (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from HWPF (pti),L3 Access,L3 Miss,L3 Miss %,Ave L3 Miss Latency,
99.96,3725.72,1.55,0.65,0.00,0.28,0.00,0.07,0.02,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.04,0.01,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00,2496.00,482.00,19.31,1282.48,
100.01,3703.99,1.54,0.65,0.00,0.27,0.00,0.09,0.03,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00,2574.00,536.00,20.82,1359.58,
100.02,3724.68,1.55,0.65,0.00,0.33,0.00,0.07,0.02,0.31,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.00,2620.00,512.00,19.54,1794.74,
100.04,3723.95,1.55,0.65,0.00,0.25,0.00,0.09,0.02,0.31,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.00,0.00,2495.00,547.00,21.92,1309.21,
99.94,3725.50,1.54,0.65,0.00,0.32,0.00,0.08,0.02,0.32,0.01,0.00,0.00,0.00,0.00,0.01,0.03,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00,2535.00,478.00,18.86,1223.62,
99.97,3725.59,1.55,0.64,0.00,0.31,0.00,0.07,0.02,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.00,2553.00,504.00,19.74,1068.92,
100.03,3723.89,1.55,0.65,0.00,0.28,0.00,0.06,0.02,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00,2458.00,514.00,20.91,982.06,
99.99,3724.83,1.54,0.65,0.00,0.32,0.00,0.06,0.02,0.27,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00,2645.00,627.00,23.71,829.53,
99.99,3724.60,1.55,0.64,0.00,0.24,0.00,0.10,0.02,0.31,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00,2498.00,494.00,19.78,878.38,
100.01,3724.36,1.54,0.65,0.00,0.30,0.00,0.06,0.02,0.27,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00,8668.00,1415.00,16.32,1153.38,
100.01,3724.10,1.55,0.64,0.00,0.36,0.00,0.06,0.02,0.28,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.00,2455.00,504.00,20.53,836.44,
100.00,3724.22,1.55,0.65,0.00,0.34,0.00,0.07,0.03,0.31,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.00,2381.00,494.00,20.75,470.87,
100.04,3713.66,1.54,0.65,0.00,0.33,0.00,0.08,0.03,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00,2489.00,496.00,19.93,1099.93,
99.98,3724.96,1.55,0.64,0.00,0.31,0.00,0.07,0.02,0.31,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00,2519.00,526.00,20.88,921.47,
100.00,3724.54,1.55,0.65,0.00,0.28,0.00,0.05,0.01,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00,2469.00,458.00,18.55,1042.54,
100.03,3723.89,1.54,0.65,0.00,0.34,0.00,0.08,0.03,0.31,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00,2592.00,588.00,22.69,789.84,
99.98,3724.79,1.55,0.65,0.00,0.32,0.00,0.06,0.02,0.26,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.03,0.02,0.01,0.01,0.00,0.00,0.00,0.04,0.03,0.00,0.00,2562.00,549.00,21.43,1006.00,
99.99,3724.63,1.54,0.65,0.00,0.27,0.00,0.08,0.02,0.31,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00,19506.00,2677.00,13.72,879.42,
99.99,3724.73,1.55,0.64,0.00,0.37,0.00,0.07,0.02,0.28,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00,6796.00,1110.00,16.33,1004.49,
100.01,3724.17,1.55,0.65,0.00,0.27,0.00,0.09,0.02,0.31,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.01,0.00,0.01,0.00,0.01,0.00,0.04,0.04,0.01,0.00,3011.00,552.00,18.33,1150.55,
100.05,3723.75,1.54,0.65,0.00,0.30,0.00,0.07,0.02,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00,2521.00,510.00,20.23,922.30,
100.00,3724.14,1.55,0.64,0.00,0.29,0.00,0.08,0.02,0.32,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.00,2415.00,493.00,20.41,851.11,
99.99,3724.76,1.55,0.65,0.00,0.31,0.00,0.05,0.02,0.26,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00,2448.00,498.00,20.34,868.39,
100.00,3694.55,1.54,0.65,0.00,0.32,0.00,0.06,0.02,0.26,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00,0.02,0.00,0.02,0.00,0.04,0.03,0.01,0.00,2632.00,619.00,23.52,933.46,
100.01,3724.17,1.55,0.65,0.00,0.30,0.00,0.05,0.02,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.00,9137.00,1208.00,13.22,1048.96,
100.01,3699.50,1.54,0.65,0.00,0.30,0.00,0.05,0.02,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00,2491.00,473.00,18.99,1146.17,
100.00,3697.85,1.55,0.64,0.00,0.33,0.00,0.08,0.03,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00,2495.00,483.00,19.36,914.74,
100.04,3723.64,1.55,0.65,0.00,0.32,0.00,0.06,0.02,0.27,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.00,0.00,2454.00,477.00,19.44,1012.40,
100.00,3687.32,1.54,0.65,0.00,0.31,0.00,0.07,0.02,0.31,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.01,0.00,0.01,0.00,0.01,0.00,0.03,0.02,0.01,0.00,2455.00,562.00,22.89,1075.55,
100.03,3678.44,1.55,0.64,0.00,0.31,0.00,0.06,0.02,0.27,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00,2470.00,468.00,18.95,912.63,
100.04,3681.37,1.55,0.65,0.00,0.24,0.00,0.08,0.02,0.34,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.00,0.00,2514.00,483.00,19.21,900.49,
100.03,3723.83,1.55,0.65,0.00,0.35,0.00,0.07,0.03,0.31,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00,2553.00,567.00,22.21,946.67,
100.05,3724.32,1.55,0.65,0.00,0.32,0.00,0.07,0.02,0.31,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00,2575.00,535.00,20.78,951.41,
100.00,3724.43,1.55,0.65,0.00,0.33,0.00,0.07,0.02,0.31,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.00,2449.00,466.00,19.03,895.40,
100.00,3724.31,1.55,0.65,0.00,0.34,0.00,0.06,0.02,0.27,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00,2566.00,739.00,28.80,1211.02,
100.01,3724.08,1.55,0.65,0.00,0.33,0.00,0.06,0.02,0.27,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.00,2489.00,479.00,19.24,910.28,
99.99,3724.79,1.54,0.65,0.00,0.33,0.00,0.07,0.02,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00,2526.00,500.00,19.79,884.83,
99.98,3725.22,1.55,0.64,0.00,0.29,0.00,0.08,0.02,0.32,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00,2460.00,542.00,22.03,919.91,
100.00,3724.74,1.55,0.65,0.00,0.34,0.00,0.08,0.03,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00,2559.00,598.00,23.37,954.57,
