Core-58,,,,,,,,,,,,,,,,,,,,,,,,,,,,CCX-3,,,,
Utilization (%),Eff Freq,IPC (Sys + User),CPI (Sys + User),Branch Misprediction Ratio,IC (32B) Fetch Miss Ratio,Op Cache (64B) Fetch Miss Ratio,IC Access (pti),IC Miss (pti),DC Access (pti),DC Fills From Same CCX (pti),DC Fills From different CCX in same node (pti),DC Fills From Local Memory (pti),DC Fills From Remote CCX Cache (pti),DC Fills From Remote Memory (pti),All DC Fills (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from HWPF (pti),L3 Access,L3 Miss,L3 Miss %,Ave L3 Miss Latency,
100.01,3724.72,1.55,0.65,0.00,0.37,0.00,0.11,0.04,0.38,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.00,2654.00,586.00,22.08,1243.88,
100.00,3725.04,1.54,0.65,0.00,0.36,0.00,0.08,0.03,0.33,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.00,2656.00,565.00,21.27,1238.88,
99.98,3725.08,1.54,0.65,0.00,0.34,0.00,0.07,0.02,0.28,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.00,2746.00,675.00,24.58,1185.52,
100.01,3723.93,1.55,0.65,0.00,0.35,0.00,0.06,0.02,0.27,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.00,22057.00,2540.00,11.52,1767.80,
100.04,3723.89,1.55,0.65,0.00,0.34,0.00,0.09,0.03,0.36,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.00,2907.00,746.00,25.66,1435.91,
100.01,3724.87,1.55,0.64,0.00,0.34,0.00,0.08,0.03,0.32,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.00,2596.00,549.00,21.15,799.09,
100.04,3723.82,1.55,0.65,0.00,0.38,0.00,0.07,0.03,0.30,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.03,0.01,0.00,0.01,0.00,0.01,0.00,0.04,0.04,0.01,0.00,2644.00,561.00,21.22,1240.48,
99.98,3726.35,1.54,0.65,0.00,0.30,0.00,0.08,0.02,0.30,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.00,2651.00,594.00,22.41,1239.67,
100.02,3725.00,1.54,0.65,0.00,0.33,0.00,0.08,0.03,0.35,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.00,15823.00,1897.00,11.99,1219.03,
100.12,3724.45,1.55,0.65,0.00,0.33,0.00,0.09,0.03,0.34,0.01,0.00,0.00,0.00,0.00,0.01,0.04,0.02,0.01,0.00,0.01,0.00,0.00,0.00,0.03,0.03,0.00,0.00,2538.00,493.00,19.42,1506.99,
100.01,3694.64,1.55,0.65,0.00,0.32,0.00,0.06,0.02,0.28,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.04,0.03,0.00,0.00,2788.00,641.00,22.99,897.59,
99.86,3684.78,1.54,0.65,0.00,0.32,0.00,0.08,0.03,0.32,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.00,2632.00,612.00,23.25,2419.51,
100.00,3725.02,1.55,0.65,0.00,0.34,0.00,0.11,0.04,0.40,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.03,0.01,0.00,0.01,0.00,0.00,0.00,0.04,0.03,0.01,0.00,2577.00,569.00,22.08,1915.38,
99.99,3725.35,1.53,0.65,0.00,0.38,0.00,0.10,0.04,0.36,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.00,16505.00,1952.00,11.83,2384.81,
100.03,3724.50,1.54,0.65,0.00,0.34,0.00,0.08,0.03,0.33,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.03,0.01,0.00,0.01,0.00,0.01,0.00,0.04,0.03,0.01,0.00,2733.00,650.00,23.78,1555.11,
100.01,3724.32,1.55,0.64,0.00,0.33,0.00,0.09,0.03,0.34,0.01,0.00,0.00,0.00,0.00,0.01,0.04,0.03,0.01,0.00,0.01,0.00,0.00,0.00,0.04,0.04,0.00,0.00,24928.00,5584.00,22.40,1726.87,
100.02,3685.61,1.55,0.65,0.00,0.31,0.00,0.08,0.02,0.31,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00,2726.00,588.00,21.57,1235.52,
100.03,3724.69,1.55,0.65,0.00,0.26,0.00,0.10,0.03,0.33,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.00,2628.00,547.00,20.81,1222.08,
100.04,3714.12,1.55,0.65,0.00,0.34,0.00,0.08,0.03,0.33,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.04,0.03,0.00,0.00,17113.00,2205.00,12.88,1230.34,
100.01,3724.39,1.55,0.65,0.00,0.36,0.00,0.08,0.03,0.31,0.01,0.00,0.00,0.00,0.00,0.01,0.05,0.03,0.01,0.01,0.01,0.00,0.00,0.00,0.04,0.03,0.00,0.00,2687.00,716.00,26.65,1430.01,
100.02,3724.17,1.54,0.65,0.00,0.36,0.00,0.08,0.03,0.32,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.00,0.00,2685.00,626.00,23.31,1998.09,
100.02,3724.75,1.54,0.65,0.00,0.29,0.00,0.09,0.03,0.32,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.00,2687.00,607.00,22.59,1180.45,
100.03,3724.48,1.55,0.65,0.00,0.34,0.00,0.08,0.03,0.32,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.00,0.00,2688.00,634.00,23.59,1150.39,
100.02,3715.45,1.55,0.65,0.00,0.36,0.00,0.09,0.03,0.35,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.00,27482.00,3103.00,11.29,962.08,
100.06,3722.51,1.55,0.65,0.00,0.33,0.00,0.10,0.03,0.74,0.01,0.00,0.00,0.00,0.00,0.01,0.04,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.04,0.03,0.00,0.00,2656.00,604.00,22.74,1840.81,
100.04,3723.92,1.55,0.65,0.00,0.35,0.00,0.08,0.03,0.32,0.00,0.00,0.00,0.00,0.00,0.01,0.06,0.04,0.02,0.01,0.01,0.00,0.00,0.00,0.05,0.04,0.01,0.00,2652.00,579.00,21.83,1710.05,
100.03,3724.19,1.53,0.65,0.00,0.33,0.00,0.06,0.02,0.29,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.03,0.01,0.01,0.01,0.00,0.00,0.00,0.04,0.03,0.00,0.00,2622.00,570.00,21.74,1527.86,
100.01,3724.65,1.54,0.65,0.00,0.25,0.00,0.08,0.02,0.28,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.00,2657.00,588.00,22.13,1183.23,
100.03,3724.77,1.55,0.65,0.00,0.32,0.00,0.11,0.04,0.41,0.00,0.00,0.00,0.00,0.00,0.01,0.06,0.04,0.01,0.01,0.01,0.00,0.00,0.00,0.04,0.03,0.00,0.00,9646.00,1853.00,19.21,1085.01,
100.00,3725.26,1.55,0.65,0.00,0.28,0.00,0.07,0.02,0.28,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.04,0.03,0.00,0.00,10173.00,1830.00,17.99,1181.42,
100.04,3724.31,1.55,0.65,0.00,0.38,0.00,0.09,0.03,0.40,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.00,0.00,2670.00,589.00,22.06,1277.01,
99.98,3725.30,1.55,0.65,0.00,0.31,0.00,0.09,0.03,0.33,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.00,2717.00,625.00,23.00,1300.71,
100.01,3724.45,1.54,0.65,0.00,0.39,0.00,0.10,0.04,0.35,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.00,0.00,2957.00,757.00,25.60,1018.27,
100.03,3724.14,1.54,0.65,0.00,0.31,0.00,0.08,0.03,0.32,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.00,10670.00,1457.00,13.66,1162.75,
100.02,3724.62,1.54,0.65,0.00,0.29,0.00,0.08,0.02,0.31,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.04,0.03,0.00,0.00,2626.00,540.00,20.56,1386.96,
100.07,3724.15,1.55,0.65,0.00,0.26,0.00,0.10,0.02,0.31,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.04,0.03,0.00,0.00,2660.00,581.00,21.84,1439.15,
100.06,3723.38,1.55,0.65,0.00,0.33,0.00,0.08,0.03,0.34,0.01,0.00,0.00,0.00,0.00,0.01,0.03,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.00,2586.00,540.00,20.88,1333.44,
100.02,3724.38,1.55,0.65,0.00,0.34,0.00,0.06,0.02,0.27,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.04,0.03,0.00,0.00,2684.00,702.00,26.15,1269.01,
100.05,3724.42,1.55,0.65,0.00,0.28,0.00,0.10,0.03,0.32,0.01,0.00,0.00,0.00,0.00,0.01,0.04,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.04,0.03,0.01,0.00,9858.00,2125.00,21.56,1030.02,
100.00,3725.00,1.54,0.65,0.00,0.25,0.00,0.09,0.02,0.29,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.00,2656.00,576.00,21.69,1496.14,
100.02,3724.25,1.54,0.65,0.00,0.27,0.00,0.10,0.03,0.34,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.00,2625.00,552.00,21.03,1285.28,
100.01,3724.72,1.55,0.65,0.00,0.26,0.00,0.08,0.02,0.28,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.00,0.00,2616.00,552.00,21.10,1216.18,
100.03,3724.12,1.55,0.65,0.00,0.32,0.00,0.07,0.02,0.30,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.00,0.00,2659.00,582.00,21.89,1445.18,
100.05,3713.11,1.55,0.65,0.00,0.35,0.00,0.09,0.03,0.36,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.00,0.00,17473.00,2190.00,12.53,1281.16,
99.99,3724.94,1.55,0.65,0.00,0.32,0.00,0.06,0.02,0.28,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.01,0.00,2600.00,555.00,21.35,1205.38,
100.04,3724.41,1.53,0.65,0.00,0.32,0.00,0.09,0.03,0.36,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.00,0.00,2621.00,629.00,24.00,1251.16,
99.98,3724.69,1.54,0.65,0.00,0.34,0.00,0.09,0.03,0.35,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.00,0.00,2648.00,595.00,22.47,1173.77,
100.02,3724.34,1.55,0.65,0.00,0.35,0.00,0.07,0.03,0.32,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.00,0.00,2660.00,561.00,21.09,1370.66,
99.99,3724.46,1.55,0.65,0.00,0.30,0.00,0.08,0.02,0.31,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.03,0.01,0.01,0.00,0.00,0.00,0.00,0.04,0.03,0.00,0.00,10043.00,1359.00,13.53,1343.25,
100.00,3724.05,1.55,0.65,0.00,0.33,0.00,0.09,0.03,0.35,0.01,0.00,0.00,0.00,0.00,0.01,0.04,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.04,0.03,0.00,0.00,2601.00,555.00,21.34,1607.63,
99.97,3725.63,1.55,0.65,0.00,0.27,0.00,0.10,0.03,0.30,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.03,0.01,0.00,0.01,0.00,0.01,0.00,0.03,0.03,0.01,0.00,2651.00,624.00,23.54,1200.61,
100.01,3724.74,1.55,0.65,0.00,0.38,0.00,0.09,0.04,0.36,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.04,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.00,2679.00,587.00,21.91,1275.81,
100.00,3725.17,1.54,0.65,0.00,0.33,0.00,0.09,0.03,0.34,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.00,2793.00,717.00,25.67,1395.59,
100.04,3724.45,1.54,0.65,0.00,0.34,0.00,0.11,0.04,0.53,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.00,8915.00,1637.00,18.36,1077.11,
100.04,3724.79,1.55,0.65,0.00,0.35,0.00,0.07,0.02,0.29,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00,2667.00,600.00,22.50,886.36,
99.97,3725.35,1.55,0.65,0.00,0.34,0.00,0.06,0.02,0.27,0.01,0.00,0.00,0.00,0.00,0.01,0.04,0.03,0.01,0.00,0.01,0.00,0.00,0.00,0.03,0.03,0.00,0.00,2586.00,540.00,20.88,1239.65,
100.00,3724.35,1.55,0.65,0.00,0.33,0.00,0.10,0.03,0.37,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.04,0.03,0.00,0.00,2771.00,676.00,24.40,1284.67,
99.98,3725.29,1.55,0.65,0.00,0.35,0.00,0.06,0.02,0.28,0.01,0.00,0.00,0.00,0.00,0.01,0.06,0.04,0.01,0.00,0.01,0.00,0.00,0.00,0.03,0.02,0.00,0.00,2688.00,594.00,22.10,1279.35,
100.02,3723.78,1.53,0.65,0.00,0.32,0.00,0.09,0.03,0.37,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.00,0.00,10232.00,1378.00,13.47,1406.62,
100.02,3724.82,1.54,0.65,0.00,0.32,0.00,0.07,0.02,0.29,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.00,2679.00,599.00,22.36,1211.52,
100.04,3724.13,1.55,0.65,0.00,0.32,0.00,0.09,0.03,0.35,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.00,0.00,2617.00,603.00,23.04,1363.63,
100.00,3719.39,1.55,0.65,0.00,0.34,0.00,0.09,0.03,0.35,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.00,0.00,22308.00,3050.00,13.67,917.04,
100.01,3724.58,1.55,0.65,0.00,0.31,0.00,0.09,0.03,0.34,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.04,0.03,0.00,0.00,2735.00,571.00,20.88,1314.98,
100.00,3724.70,1.55,0.65,0.00,0.30,0.00,0.07,0.02,0.27,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.03,0.01,0.00,0.01,0.00,0.00,0.00,0.04,0.03,0.01,0.00,9903.00,1246.00,12.58,1221.65,
100.03,3724.00,1.54,0.65,0.00,0.36,0.00,0.10,0.04,0.36,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.00,0.00,2631.00,575.00,21.85,2194.40,
100.03,3724.80,1.54,0.65,0.00,0.34,0.00,0.08,0.03,0.34,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.00,2631.00,563.00,21.40,1208.56,
100.00,3725.12,1.55,0.65,0.00,0.33,0.00,0.07,0.02,0.29,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.00,2767.00,584.00,21.11,1442.99,
99.99,3724.54,1.55,0.65,0.00,0.36,0.00,0.07,0.03,0.30,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.00,2614.00,571.00,21.84,1249.26,
100.01,3714.52,1.55,0.65,0.00,0.33,0.00,0.06,0.02,0.27,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.04,0.03,0.01,0.00,16989.00,2689.00,15.83,1220.82,
99.99,3725.08,1.55,0.65,0.00,0.33,0.00,0.09,0.03,0.33,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.00,0.00,2619.00,564.00,21.53,1343.07,
100.00,3725.36,1.55,0.65,0.00,0.36,0.00,0.08,0.03,0.33,0.01,0.00,0.00,0.00,0.00,0.01,0.06,0.04,0.01,0.00,0.01,0.00,0.00,0.00,0.03,0.03,0.00,0.00,2648.00,600.00,22.66,1140.03,
100.02,3724.89,1.54,0.65,0.00,0.31,0.00,0.11,0.03,0.41,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.00,0.00,2633.00,568.00,21.57,1206.58,
100.02,3724.90,1.54,0.65,0.00,0.34,0.00,0.08,0.03,0.33,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.00,0.00,2631.00,575.00,21.85,1167.74,
100.01,3724.55,1.55,0.65,0.00,0.34,0.00,0.09,0.03,0.35,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.00,11094.00,1598.00,14.40,1076.98,
100.03,3724.92,1.55,0.65,0.00,0.32,0.00,0.06,0.02,0.27,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.00,0.00,2601.00,526.00,20.22,1225.67,
100.03,3724.87,1.55,0.64,0.00,0.37,0.00,0.10,0.04,0.36,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.00,2628.00,644.00,24.51,812.91,
100.02,3724.71,1.55,0.65,0.00,0.33,0.00,0.06,0.02,0.26,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.05,0.04,0.01,0.00,2596.00,546.00,21.03,1232.42,
100.01,3724.67,1.53,0.65,0.00,0.34,0.00,0.08,0.03,0.32,0.01,0.00,0.00,0.00,0.00,0.01,0.04,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.00,2608.00,535.00,20.51,1205.36,
100.02,3724.73,1.54,0.65,0.00,0.34,0.00,0.08,0.03,0.34,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.00,0.00,13467.00,2417.00,17.95,1038.61,
100.00,3724.67,1.55,0.65,0.00,0.33,0.00,0.07,0.02,0.31,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.00,0.00,2651.00,566.00,21.35,1253.15,
99.99,3725.23,1.55,0.65,0.00,0.35,0.00,0.06,0.02,0.28,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.00,2646.00,553.00,20.90,1290.96,
100.00,3724.51,1.55,0.65,0.00,0.36,0.00,0.08,0.03,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.00,0.00,2585.00,537.00,20.77,1490.90,
99.98,3724.70,1.55,0.65,0.00,0.35,0.00,0.08,0.03,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00,2612.00,548.00,20.98,1193.91,
100.02,3724.81,1.54,0.65,0.00,0.35,0.00,0.07,0.03,0.30,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.00,0.00,9732.00,1800.00,18.50,1075.91,
99.97,3726.27,1.54,0.65,0.00,0.33,0.00,0.07,0.02,0.31,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.00,0.00,2536.00,564.00,22.24,1497.90,
99.96,3725.56,1.54,0.65,0.00,0.32,0.00,0.08,0.03,0.36,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.00,0.00,2565.00,530.00,20.66,1845.69,
100.02,3723.81,1.55,0.65,0.00,0.33,0.00,0.07,0.02,0.29,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.00,0.00,2687.00,584.00,21.73,1165.62,
100.00,3724.91,1.55,0.65,0.00,0.35,0.00,0.07,0.02,0.29,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.00,0.00,2650.00,574.00,21.66,1139.82,
99.99,3724.84,1.55,0.65,0.00,0.34,0.00,0.07,0.03,0.32,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.00,0.00,8454.00,1603.00,18.96,1145.08,
100.01,3724.89,1.55,0.65,0.00,0.35,0.00,0.09,0.03,0.35,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.04,0.01,0.00,0.00,0.00,0.00,0.00,0.04,0.03,0.01,0.00,2627.00,624.00,23.75,1190.77,
100.01,3724.69,1.53,0.65,0.00,0.32,0.00,0.08,0.03,0.33,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.00,2664.00,594.00,22.30,1500.42,
100.02,3724.37,1.54,0.65,0.00,0.34,0.00,0.08,0.03,0.33,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.00,2644.00,582.00,22.01,1370.16,
100.01,3724.07,1.55,0.65,0.00,0.34,0.00,0.07,0.02,0.29,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.00,0.00,2685.00,623.00,23.20,1182.42,
100.01,3719.29,1.55,0.65,0.00,0.32,0.00,0.08,0.02,0.32,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.00,0.00,20105.00,2740.00,13.63,1184.44,
100.00,3724.61,1.55,0.65,0.00,0.33,0.00,0.08,0.03,0.35,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.00,2593.00,615.00,23.72,1218.61,
100.03,3724.61,1.55,0.65,0.00,0.32,0.00,0.08,0.02,0.33,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.00,0.00,2676.00,645.00,24.10,1309.19,
100.17,3720.72,1.53,0.66,0.00,0.37,0.00,0.08,0.03,0.32,0.01,0.00,0.00,0.00,0.00,0.01,0.03,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.00,0.00,2800.00,657.00,23.46,2789.50,
100.02,3724.10,1.54,0.65,0.00,0.29,0.00,0.08,0.02,0.28,0.01,0.00,0.00,0.00,0.00,0.01,0.04,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.00,0.00,2632.00,586.00,22.26,1411.06,
100.01,3723.98,1.55,0.65,0.00,0.32,0.00,0.08,0.02,0.32,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00,8406.00,1703.00,20.26,1052.33,
100.03,3724.94,1.55,0.65,0.00,0.32,0.00,0.08,0.03,0.33,0.01,0.00,0.00,0.00,0.00,0.01,0.04,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.00,0.00,2671.00,583.00,21.83,1329.09,
99.97,3725.78,1.55,0.65,0.00,0.34,0.00,0.08,0.03,0.35,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.00,2637.00,578.00,21.92,1667.05,
100.03,3724.41,1.55,0.65,0.00,0.31,0.00,0.07,0.02,0.32,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.00,0.00,2576.00,520.00,20.19,1314.73,
