Core-58,,,,,,,,,,,,,,,,,,,,,,,,,,,,CCX-3,,,,
Utilization (%),Eff Freq,IPC (Sys + User),CPI (Sys + User),Branch Misprediction Ratio,IC (32B) Fetch Miss Ratio,Op Cache (64B) Fetch Miss Ratio,IC Access (pti),IC Miss (pti),DC Access (pti),DC Fills From Same CCX (pti),DC Fills From different CCX in same node (pti),DC Fills From Local Memory (pti),DC Fills From Remote CCX Cache (pti),DC Fills From Remote Memory (pti),All DC Fills (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from HWPF (pti),L3 Access,L3 Miss,L3 Miss %,Ave L3 Miss Latency,
100.00,3724.95,1.54,0.65,0.00,0.31,0.00,0.05,0.02,0.26,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.00,0.00,2499.00,518.00,20.73,1428.83,
100.00,3724.85,1.55,0.65,0.00,0.31,0.00,0.06,0.02,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00,2456.00,487.00,19.83,892.40,
99.99,3724.98,1.55,0.64,0.00,0.30,0.00,0.06,0.02,0.28,0.01,0.00,0.00,0.00,0.00,0.01,0.03,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00,2574.00,536.00,20.82,928.13,
100.17,3711.75,1.54,0.65,0.00,0.33,0.00,0.11,0.04,0.38,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.00,0.00,3389.00,819.00,24.17,1115.18,
100.01,3724.52,1.54,0.65,0.00,0.23,0.00,0.07,0.02,0.26,0.01,0.00,0.00,0.00,0.00,0.02,0.03,0.02,0.01,0.00,0.01,0.00,0.00,0.00,0.04,0.03,0.01,0.00,8349.00,1487.00,17.81,998.86,
100.00,3702.01,1.55,0.65,0.00,0.29,0.00,0.08,0.02,0.34,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00,2480.00,487.00,19.64,1071.09,
100.06,3712.99,1.55,0.65,0.00,0.24,0.00,0.07,0.02,0.26,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.00,0.00,2492.00,509.00,20.43,966.29,
99.98,3714.30,1.55,0.65,0.00,0.31,0.00,0.07,0.02,0.30,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.00,0.00,2467.00,492.00,19.94,875.47,
100.04,3724.74,1.55,0.64,0.00,0.31,0.00,0.05,0.02,0.26,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.04,0.01,0.00,0.00,0.00,0.00,0.00,0.04,0.03,0.00,0.00,2456.00,511.00,20.81,971.58,
100.03,3724.11,1.55,0.65,0.00,0.38,0.00,0.08,0.03,0.30,0.01,0.00,0.00,0.00,0.00,0.01,0.04,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.01,0.00,2468.00,524.00,21.23,1223.11,
100.07,3723.87,1.54,0.65,0.00,0.32,0.00,0.08,0.03,0.34,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00,2534.00,535.00,21.11,1309.32,
99.93,3727.44,1.54,0.65,0.00,0.30,0.00,0.06,0.02,0.27,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.00,0.00,2507.00,522.00,20.82,1187.22,
100.01,3714.42,1.55,0.65,0.00,0.29,0.00,0.07,0.02,0.32,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00,2520.00,505.00,20.04,982.54,
100.02,3724.21,1.55,0.65,0.00,0.32,0.00,0.08,0.03,0.35,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.00,0.00,3756.00,582.00,15.50,1014.66,
100.01,3725.56,1.55,0.64,0.00,0.31,0.00,0.06,0.02,0.27,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00,2499.00,500.00,20.01,978.11,
100.07,3713.68,1.55,0.64,0.00,0.31,0.00,0.06,0.02,0.27,0.00,0.00,0.00,0.00,0.00,0.01,0.06,0.04,0.01,0.01,0.00,0.00,0.00,0.00,0.03,0.03,0.01,0.00,4929.00,1257.00,25.50,1239.94,
100.05,3723.19,1.54,0.65,0.00,0.31,0.00,0.06,0.02,0.27,0.00,0.00,0.00,0.00,0.00,0.01,0.06,0.03,0.01,0.01,0.01,0.00,0.00,0.00,0.03,0.02,0.00,0.01,2587.00,606.00,23.42,849.88,
100.03,3724.12,1.54,0.65,0.00,0.32,0.00,0.07,0.02,0.31,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00,2450.00,479.00,19.55,928.76,
100.01,3708.97,1.55,0.65,0.00,0.31,0.00,0.05,0.02,0.26,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00,2459.00,477.00,19.40,932.54,
